Date,S&P_500,Communication,Cons_Disc,Cons_Staples,Energy,Financials,Healthcare,Industrials,Info_Tech,Materials,Real_Estate,Utilities
2011-06-23,-0.002827975,-0.002130736,0.003920416,-0.009430439,-0.011550912,-0.009698169,-0.000811648,-0.002816451,0.00860041,-0.000805017,-0.01951918,-0.008529166
2011-06-24,-0.01172575,-0.00770228,-0.010055648,-0.007069469,-0.019259397,-0.006845208,-0.012356923,-0.01210001,-0.018283049,-0.005724463,-0.001076095,0.002225832
2011-06-27,0.009184438,0.010759299,0.012294543,0.004398456,0.007115074,0.011319616,0.005582833,0.009031839,0.013999591,0.001450017,0.008002462,0.007683073
2011-06-28,0.012944301,0.006767032,0.018672469,0.003182004,0.026996986,0.004128942,0.014548789,0.014553416,0.012874131,0.017843455,0.007251908,0.004586609
2011-06-29,0.008282755,0.006192886,0.004176097,0.004365304,0.011024893,0.020956156,0.000513021,0.00463345,0.007536751,0.015396845,0.011898446,0.00444708
2011-06-30,0.010119243,0.008331457,0.009174603,0.008911541,0.015095983,0.003833463,0.003369552,0.016742482,0.014442305,0.013350365,0.004044338,0.003719008
2011-07-01,0.01440968,0.013026649,0.019723804,0.007500155,0.009652165,0.017305554,0.012702893,0.017429938,0.017278723,0.009108283,0.018573773,0.012291948
2011-07-05,-0.00133615,-0.002057462,0.003948667,-0.00073828,0.0045498,-0.008363032,-0.003123874,-0.005954744,0.001554987,0.001128259,0.005126327,-0.005926098
2011-07-06,0.001001585,-0.007510493,-0.002919125,0.005849033,-0.001779955,-0.005510566,0.002699771,0.005222413,0.004896575,0.003622459,0.004735883,0.001928697
2011-07-07,0.010453846,-7.42E-05,0.013313199,0.006365918,0.013576498,0.015755999,-0.000697166,0.010146079,0.01409522,0.01483858,0.013125453,0.003499971
2011-07-08,-0.006961174,-0.003116189,-0.006143365,-0.003375707,-0.006897633,-0.013044922,-0.00404157,-0.011768621,-0.004687793,-0.006757558,-0.004867225,-0.003429634
2011-07-11,-0.01809049,-0.011387318,-0.019645644,-0.007323548,-0.020433219,-0.028068826,-0.014057971,-0.018368284,-0.017968161,-0.020529959,-0.018916781,-0.011140924
2011-07-12,-0.004433531,-0.001505684,-0.004182664,-0.00347361,-0.003097583,-0.002818712,0.000514479,-0.010260409,-0.009256373,-0.003371517,0.003665689,0.004600956
2011-07-13,0.003105874,-0.001206364,0.005140582,0.000308471,0.006843041,0.001636499,0.002791449,0.003718175,0.002638267,0.008273894,-0.009788167,-0.002348658
2011-07-14,-0.006716146,-0.007246924,-0.007609069,-0.00453312,-0.004959149,-0.007723537,-0.001123239,-0.009700509,-0.009487254,-0.009054895,-0.00958985,-0.004472956
2011-07-15,0.00555441,-0.003878032,0.000785595,0.00244726,0.023377555,-0.002444866,-0.004791356,0.000538913,0.015524847,0.009586359,0.011246835,0.001537097
2011-07-18,-0.008129834,-0.008015267,-0.01064431,-0.006304079,-0.004449583,-0.013804832,-0.007933974,-0.011184336,-0.003239896,-0.011758051,-0.008543861,-0.009444543
2011-07-19,0.016308678,0.007926125,0.019803866,0.014740639,0.016839697,0.013592331,0.009111617,0.012752732,0.026966509,0.013983155,0.018052151,0.008163995
2011-07-20,-0.000670822,-0.000381738,-0.005788442,-0.003892124,-0.003253327,0.010758069,-0.003533222,0.002436169,-0.004290437,-0.000241935,0.004962055,0.005792647
2011-07-21,0.013546129,0.004506225,0.011675588,0.006768606,0.019705203,0.024752475,0.014946321,0.014707739,0.005297857,0.011615713,0.010746442,0.015397273
2011-07-22,0.000907873,-0.004790146,0.003991337,-0.001589096,0.004682126,-0.002657005,-0.001431379,-0.00970451,0.011664129,-0.004345746,0.00466954,-0.005614076
2011-07-25,-0.005643039,-0.013599205,-0.006132701,-0.009978268,-0.004778932,-0.008428191,-0.010714286,-0.001413405,-0.00145857,-0.002482681,-0.012370397,0.002677376
2011-07-26,-0.004104888,0.001549067,-0.001891473,-0.002597001,-0.005074327,-0.001709736,-0.008006091,-0.019438241,0.004173429,-0.010437156,0.001375615,-0.00365705
2011-07-27,-0.020308723,-0.003944011,-0.017676846,-0.010415052,-0.01826148,-0.023292229,-0.017255465,-0.026976744,-0.029462018,-0.023041662,-0.027113007,-0.003495689
2011-07-28,-0.003233989,-0.022437888,-0.00512334,0.000219264,-0.007008124,0.000450902,-0.001435913,-0.008703105,0.001213304,-0.002117676,-0.000891795,-0.007132834
2011-07-29,-0.006450522,-0.004209356,-0.004355013,-0.006200676,-0.011551966,-0.002553959,-0.00423825,-0.004822082,-0.008316502,-0.011359854,0.0017108,-0.009833942
2011-08-01,-0.004132231,0.009172117,-0.005715015,-0.00340329,-0.000852545,-0.003313586,-0.017126498,-0.005146199,-0.001581406,-0.003451324,-0.020049009,0.002973536
2011-08-02,-0.025556747,-0.018730736,-0.036638623,-0.012869158,-0.026753653,-0.027705017,-0.023044207,-0.034395889,-0.022558737,-0.029311146,-0.028870198,-0.016068782
